Day,Minute,Acti Data
Monday,399,0
Monday,400,0
Monday,401,0
Monday,402,0
Monday,403,0
Monday,404,538
Monday,405,166
Monday,406,141
Monday,407,166
Monday,408,166
Monday,409,0
Monday,410,0
Monday,411,640
Monday,412,274
Monday,413,212
Monday,414,13
Monday,415,371
Monday,416,259
Monday,417,13
Monday,418,197
Monday,419,443
Monday,420,0
Monday,421,0
Monday,422,0
Monday,423,0
Monday,424,0
Monday,425,0
Monday,426,0
Monday,427,0
Monday,428,0
Monday,429,0
Monday,430,0
Monday,431,0
Monday,432,0
Monday,433,0
Monday,434,0
Monday,435,0
Monday,436,0
Monday,437,0
Monday,438,0
Monday,439,0
Monday,440,0
Monday,441,0
Monday,442,0
Monday,443,0
Monday,444,0
Monday,445,1423
Monday,446,1001
Monday,447,538
Monday,448,558
Monday,449,1262
Monday,450,1262
Monday,451,640
Monday,452,38
Monday,453,64
Monday,454,51
Monday,455,0
Monday,456,64
Monday,457,90
Monday,458,1201
Monday,459,166
Monday,460,730
Monday,461,660
Monday,462,1823
Monday,463,228
Monday,464,197
Monday,465,0
Monday,466,141
Monday,467,77
Monday,468,26
Monday,469,115
Monday,470,26
Monday,471,38
Monday,472,13
Monday,473,64
Monday,474,197
Monday,475,77
Monday,476,26
Monday,477,166
Monday,478,13
Monday,479,13
Monday,480,90
Monday,481,38
Monday,482,115
Monday,483,51
Monday,484,51
Monday,485,26
Monday,486,51
Monday,487,64
Monday,488,102
Monday,489,274
Monday,490,599
Monday,491,1784
Monday,492,1293
Monday,493,975
Monday,494,389
Monday,495,389
Monday,496,212
Monday,497,90
Monday,498,51
Monday,499,166
Monday,500,13
Monday,501,64
Monday,502,51
Monday,503,26
Monday,504,0
Monday,505,538
Monday,506,579
Monday,507,166
Monday,508,975
Monday,509,1526
Monday,510,660
Monday,511,538
Monday,512,1231
Monday,513,115
Monday,514,102
Monday,515,730
Monday,516,950
Monday,517,182
Monday,518,660
Monday,519,212
Monday,520,353
Monday,521,353
Monday,522,154
Monday,523,77
Monday,524,640
Monday,525,115
Monday,526,166
Monday,527,259
Monday,528,558
Monday,529,873
Monday,530,599
Monday,531,730
Monday,532,13
Monday,533,182
Monday,534,599
Monday,535,228
Monday,536,753
Monday,537,274
Monday,538,13
Monday,539,51
Monday,540,13
Monday,541,77
Monday,542,26
Monday,543,0
Monday,544,13
Monday,545,90
Monday,546,26
Monday,547,77
Monday,548,51
Monday,549,26
Monday,550,38
Monday,551,64
Monday,552,13
Monday,553,26
Monday,554,353
Monday,555,1457
Monday,556,517
Monday,557,141
Monday,558,0
Monday,559,371
Monday,560,197
Monday,561,558
Monday,562,497
Monday,563,166
Monday,564,517
Monday,565,197
Monday,566,389
Monday,567,77
Monday,568,197
Monday,569,479
Monday,570,51
Monday,571,425
Monday,572,289
Monday,573,479
Monday,574,443
Monday,575,950
Monday,576,660
Monday,577,182
Monday,578,51
Monday,579,197
Monday,580,77
Monday,581,26
Monday,582,77
Monday,583,0
Monday,584,102
Monday,585,0
Monday,586,0
Monday,587,0
Monday,588,38
Monday,589,77
Monday,590,320
Monday,591,1324
Monday,592,64
Monday,593,599
Monday,594,707
Monday,595,115
Monday,596,154
Monday,597,353
Monday,598,975
Monday,599,950
Monday,600,873
Monday,601,899
Monday,602,353
Monday,603,259
Monday,604,243
Monday,605,166
Monday,606,0
Monday,607,13
Monday,608,335
Monday,609,212
Monday,610,13
Monday,611,115
Monday,612,102
Monday,613,141
Monday,614,0
Monday,615,13
Monday,616,335
Monday,617,753
Monday,618,730
Monday,619,873
Monday,620,707
Monday,621,407
Monday,622,461
Monday,623,335
Monday,624,707
Monday,625,289
Monday,626,497
Monday,627,38
Monday,628,0
Monday,629,128
Monday,630,558
Monday,631,822
Monday,632,274
Monday,633,259
Monday,634,0
Monday,635,197
Monday,636,305
Monday,637,335
Monday,638,197
Monday,639,684
Monday,640,461
Monday,641,289
Monday,642,799
Monday,643,753
Monday,644,443
Monday,645,259
Monday,646,102
Monday,647,517
Monday,648,371
Monday,649,259
Monday,650,1142
Monday,651,660
Monday,652,753
Monday,653,1142
Monday,654,1170
Monday,655,461
Monday,656,228
Monday,657,115
Monday,658,243
Monday,659,182
Monday,660,38
Monday,661,274
Monday,662,259
Monday,663,776
Monday,664,320
Monday,665,776
Monday,666,305
Monday,667,51
Monday,668,1201
Monday,669,847
Monday,670,517
Monday,671,517
Monday,672,479
Monday,673,497
Monday,674,640
Monday,675,115
Monday,676,776
Monday,677,259
Monday,678,753
Monday,679,26
Monday,680,154
Monday,681,753
Monday,682,13
Monday,683,115
Monday,684,497
Monday,685,479
Monday,686,90
Monday,687,77
Monday,688,274
Monday,689,38
Monday,690,0
Monday,691,90
Monday,692,13
Monday,693,0
Monday,694,0
Monday,695,51
Monday,696,128
Monday,697,154
Monday,698,0
Monday,699,0
Monday,700,197
Monday,701,154
Monday,702,26
Monday,703,115
Monday,704,0
Monday,705,320
Monday,706,353
Monday,707,13
Monday,708,38
Monday,709,13
Monday,710,51
Monday,711,0
Monday,712,13
Monday,713,77
Monday,714,90
Monday,715,13
Monday,716,77
Monday,717,13
Monday,718,154
Monday,719,141
Monday,720,64
Monday,721,640
Monday,722,407
Monday,723,517
Monday,724,517
Monday,725,0
Monday,726,90
Monday,727,461
Monday,728,335
Monday,729,115
Monday,730,38
Monday,731,90
Monday,732,26
Monday,733,13
Monday,734,38
Monday,735,26
Monday,736,77
Monday,737,77
Monday,738,77
Monday,739,212
Monday,740,38
Monday,741,13
Monday,742,389
Monday,743,517
Monday,744,389
Monday,745,38
Monday,746,197
Monday,747,243
Monday,748,479
Monday,749,461
Monday,750,154
Monday,751,0
Monday,752,115
Monday,753,64
Monday,754,26
Monday,755,0
Monday,756,0
Monday,757,558
Monday,758,847
Monday,759,579
Monday,760,497
Monday,761,166
Monday,762,371
Monday,763,38
Monday,764,51
Monday,765,26
Monday,766,228
Monday,767,1057
Monday,768,660
Monday,769,579
Monday,770,497
Monday,771,822
Monday,772,1262
Monday,773,776
Monday,774,197
Monday,775,77
Monday,776,90
Monday,777,497
Monday,778,443
Monday,779,479
Monday,780,461
Monday,781,335
Monday,782,166
Monday,783,51
Monday,784,141
Monday,785,753
Monday,786,305
Monday,787,305
Monday,788,212
Monday,789,259
Monday,790,128
Monday,791,64
Monday,792,0
Monday,793,90
Monday,794,64
Monday,795,90
Monday,796,197
Monday,797,90
Monday,798,77
Monday,799,154
Monday,800,102
Monday,801,141
Monday,802,320
Monday,803,640
Monday,804,212
Monday,805,753
Monday,806,228
Monday,807,479
Monday,808,289
Monday,809,243
Monday,810,13
Monday,811,115
Monday,812,289
Monday,813,51
Monday,814,38
Monday,815,0
Monday,816,102
Monday,817,115
Monday,818,64
Monday,819,13
Monday,820,128
Monday,821,13
Monday,822,0
Monday,823,289
Monday,824,579
Monday,825,154
Monday,826,13
Monday,827,259
Monday,828,13
Monday,829,26
Monday,830,0
Monday,831,64
Monday,832,77
Monday,833,102
Monday,834,26
Monday,835,26
Monday,836,77
Monday,837,558
Monday,838,166
Monday,839,461
Monday,840,141
Monday,841,38
Monday,842,77
Monday,843,64
Monday,844,38
Monday,845,13
Monday,846,128
Monday,847,102
Monday,848,141
Monday,849,51
Monday,850,64
Monday,851,141
Monday,852,212
Monday,853,141
Monday,854,707
Monday,855,660
Monday,856,1201
Monday,857,1029
Monday,858,154
Monday,859,26
Monday,860,77
Monday,861,154
Monday,862,212
Monday,863,51
Monday,864,38
Monday,865,38
Monday,866,90
Monday,867,0
Monday,868,38
Monday,869,51
Monday,870,102
Monday,871,128
Monday,872,64
Monday,873,0
Monday,874,141
Monday,875,115
Monday,876,197
Monday,877,51
Monday,878,115
Monday,879,538
Monday,880,26
Monday,881,128
Monday,882,38
Monday,883,141
Monday,884,13
Monday,885,26
Monday,886,13
Monday,887,77
Monday,888,320
Monday,889,154
Monday,890,115
Monday,891,51
Monday,892,90
Monday,893,407
Monday,894,371
Monday,895,289
Monday,896,26
Monday,897,305
Monday,898,166
Monday,899,38
Monday,900,115
Monday,901,197
Monday,902,13
Monday,903,38
Monday,904,51
Monday,905,228
Monday,906,335
Monday,907,13
Monday,908,51
Monday,909,51
Monday,910,243
Monday,911,102
Monday,912,77
Monday,913,166
Monday,914,77
Monday,915,64
Monday,916,640
Monday,917,305
Monday,918,461
Monday,919,776
Monday,920,538
Monday,921,730
Monday,922,274
Monday,923,371
Monday,924,77
Monday,925,141
Monday,926,154
Monday,927,425
Monday,928,289
Monday,929,425
Monday,930,228
Monday,931,77
Monday,932,479
Monday,933,212
Monday,934,822
Monday,935,154
Monday,936,182
Monday,937,517
Monday,938,799
Monday,939,115
Monday,940,64
Monday,941,0
Monday,942,26
Monday,943,64
Monday,944,51
Monday,945,0
Monday,946,64
Monday,947,320
Monday,948,0
Monday,949,425
Monday,950,38
Monday,951,320
Monday,952,90
Monday,953,822
Monday,954,1114
Monday,955,154
Monday,956,274
Monday,957,1526
Monday,958,847
Monday,959,660
Monday,960,51
Monday,961,38
Monday,962,26
Monday,963,0
Monday,964,371
Monday,965,1633
Monday,966,1201
Monday,967,141
Monday,968,38
Monday,969,64
Monday,970,182
Monday,971,141
Monday,972,90
Monday,973,26
Monday,974,115
Monday,975,26
Monday,976,102
Monday,977,38
Monday,978,51
Monday,979,0
Monday,980,64
Monday,981,13
Monday,982,26
Monday,983,102
Monday,984,274
Monday,985,822
Monday,986,461
Monday,987,847
Monday,988,707
Monday,989,660
Monday,990,197
Monday,991,579
Monday,992,975
Monday,993,497
Monday,994,166
Monday,995,90
Monday,996,38
Monday,997,0
Monday,998,90
Monday,999,13
Monday,1000,26
Monday,1001,90
Monday,1002,182
Monday,1003,443
Monday,1004,640
Monday,1005,289
Monday,1006,425
Monday,1007,497
Monday,1008,371
Monday,1009,707
Monday,1010,873
Monday,1011,1490
Monday,1012,579
Monday,1013,212
Monday,1014,753
Monday,1015,558
Monday,1016,320
Monday,1017,1029
Monday,1018,538
Monday,1019,197
Monday,1020,128
Monday,1021,182
Monday,1022,197
Monday,1023,154
Monday,1024,0
Monday,1025,479
Monday,1026,289
Monday,1027,599
Monday,1028,77
Monday,1029,0
Monday,1030,289
Monday,1031,579
Monday,1032,305
Monday,1033,640
Monday,1034,154
Monday,1035,141
Monday,1036,305
Monday,1037,0
Monday,1038,26
Monday,1039,26
Monday,1040,38
Monday,1041,77
Monday,1042,0
Monday,1043,51
Monday,1044,77
Monday,1045,0
Monday,1046,0
Monday,1047,38
Monday,1048,13
Monday,1049,13
Monday,1050,0
Monday,1051,0
Monday,1052,335
Monday,1053,479
Monday,1054,38
Monday,1055,243
Monday,1056,26
