Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
1025.6,571,348.6,432.6,275.2,0,17.6,83.8,579.75,33.2,90.8,760.4,9.6,135.6,313.8,583.3333333,243.5,1183.4,508.2,515.5,2.4,76.2,195.3,61.8,41.6,212.9,248,344,2.8
1052.4,852,196.4,285.7,299.8,118.8,0,240.8,226,78.2,53.2,1653,0,45.6,438.8,497.6666667,399.6,1091.2,664.6,545.25,4.8,156.2,365.6,32.8,3.8,209.4,121.2,623.4,20.4
1264,818,74.4,322,250.2,67.6,17.6,269.6,250.25,70.2,79.2,255.4,50.8,69.4,325.6,292,277.1,766,398,727.25,116.8,28.2,428.8,16.4,1,108.4,100.6,337.4,0
1205.6,650.4,91.8,379.9,270.4,100,169.8,122,254,25.6,157.6,166.6,29,212.8,99.8,157,280.5,903.4,413.8,301,9.6,55.2,331.6,15.4,22.2,94.2,88.2,456.2,0
1057.6,288.2,250,187,118.4,181.8,508.4,146.2,294.25,23,248.8,170.6,56.01162871,290.4,194.8,361,533.6,885.8,794.6,282.75,97.6,86.8,432.4,6.8,33.8,190.7,299.6,438.3026308,3.8
885.4,151,353.4,245.5,166.4,303.8,202.6,59.2,404.5,59.4,201.8,154,71,201.6,221,327,256.5,669.8,890.4,488.75,46,194.2,609,34.8,18.4,171.5,349.8,554.4,0
671,28.2,261.4,188.7,94,332.2,181.2,49.4,845,35.8,129.6,294.6,31.4,159.6,102.4,198,368.4,485.4,572.2,407.6653024,31.4,604.6,213.8,12.6,1,79.7,497,561.8,0
636.6,23.2,541,362,41,249,101.4,147,712,107.6,123.6,270,12,212.4,114.6,172.3333333,534.7,541.4,344.4,830.5,14.4,225.2,335.2,4.8,86.8,113.1,1092.6,366.2,0
1021.4,66.4,224.2,593,50.6,160.3016288,7.6,14,458.5,12.8,97.8,542.4,26.4,85.4,294.4,674.3333333,517.6,359,451,299.75,14.4,125.2,501.4,17.6,17.2,185.6,1027.6,666.4,0
486.2,100.8,217.2,370.6,128.8,234.2,0,82.6,741,70.6,236,867.4,40,41.6,263.6,398.896599,504,483,489.8,618,33.8,228.8,460.6,6.6,30,189.7,930.8,652.2,0
481.2,677.6,249.6,391.4,177.4,129.6,27.6,153.6,797.25,30.8,144,249.6,75.4,134.4,211.4,581.6666667,397,527.4,536,469.75,44.4,458.2,466.3,29,90.8,414.7,773,628.4,0
509,293,318.4,398.3,29,131.6,27.6,150.8,836.25,0,374.6,292,41.2,146,98,245.6666667,568.9,1064,564,509.5,58.4,458.6,305.4,3.8,180.3,288.7,538.6,426.2,0
500.4,587,379,380.4,68.4,148.4,0,204,635.5,38.4,436.8,439.4,137.6,403.6,178.2,158,531,949.8,651,450.5,21.8,304.6,355.3,17.4,33.5,462.3,514.4,849.4,8.6
830.2,441.2,403.2,393,99.6,218.8,0,199.2,1300.5,10.2,448.2,854.4,95.2,396,191.2,140,388.5,930,631.6,208.25,31.4,261,221.3,20.4,82.1,323.3,529.8,1027.6,0
482.4,992,461,174.9,145.8,161.2,20,35,875.25,47,442.2,1196.6,78.2,619.6,241.8,257.6666667,384.6,964.2,517.4,400.5,65.2,570,544.5,8.6,244.3,296.2,626.2,682.8,12.6
535.2,531.2,677.8,275.6,74.2,155.8,15.2,116.8,823.25,2.6,410.2,575.4,121.6,235.8,169.2,804.6666667,509.8,1307.4,247.2,596.25,142,662,561.7,2.8,104.3,201,752.6,416,18.4
879,446.4,440.4,105.1,85.6,129.4,2.6,171.2,402,23,340.4134922,232.4,93.2,155,217.4,232.6666667,467.3,809,366.2,615.5,252.6,727.2,459.3,16.4,184.3,259.9,522.4,438.4,9.6
554,101.8,296.2,167.4,74.4,125,7.6,354.8,779,60.4,297.2,627.8,41,231,83.2,221,549.1,770.6,430.8,579.75,203.2,365.8,951.8,8.6,49,252,674.8,521.6,0
452,95.8,257.4,117.4,321.8,190.2,12.6,231.2,635.5,15.4,755.4,934.6,93,432.2,279,289.3333333,469,789,826.4,799.25,54,994.2,480.1,48.4,153.4,116.7,694.4,337.6,0
639.8,18,317.2,121.5,64.2,149,30.2,235.4,768.5,0,554.2,897.2,51.6,420.2,276.2,389,651.3,613.6,205.2,451.75,41.4,1109.4,300.7,12.6,141.6,201,811.2,313,12.6
781.2,64.2,378.6,84.6,214.4,283.8,7.6,155.4,383.25,0,519,719.8,108.8,240,315.2,290,487.1,491.4,216.4,906.75,87,703.8,310.7,2.8,8.8,98,790.8,673.6,78.8
1041.6,76.8,80.2,281.4,172.8,190.4,0,287.4,268.5,45.6,355.6,518,147.2,332.8,492.8,435.3333333,462.8,320.4,101.6,697,90.4,554.6,261.1,0,10.6,147.8,800.4,445,74.66874454
859.2,82,150.2,424.1,29,192.6,2.6,111.6,347,0,277,481,121.2,81.8,534,687.6666667,551.2,306.2,183.6,106.75,138.2,489.6,271,18.2,12,118.7,791,356,113.4
677.6,74.2,292.8,407.1,48.4,130,0,179.6,329.5,0,220.2,710.4,164.8,68.2,713.6,738,379.6,256.8,202.4,205,66,595.2,230.3,49.2,12.7,125.2,598,379.8,46
560.8,15.4,547.4,366.2,172.4,196,0,303,184.5,0,456.8,770,57,67.8,368.8,612,598,305.2,251.2,231.5,63.8,1174.8,351.2,11.4,9.6,78,617.4,175,73.4
292.2,48.6,218.4,243.8,155.2,292.8,25,172.2,229,28.2,354,403.6,171.6,161.2,389,484.6666667,596.8,481,392.4,462.5,73.4,1234,591.8,10.6,3,99.7,913.4,360.6,127.6
473.8,66.4,280.4,435.8,227.8,344.4,7.6,149.4,394,10.2,214.8,362.8,134.8,253.2,308.2,992,497.8,782,387,286.25,121.6,1132,455,13.4,0,120.9,1202.2,223,57.6
1028.4,71.8,368,390.5,224,176.2,65.8,140.6,365.75,0,253.4,345.2,107.2,246.4,277,693.6666667,534.1,691.6,557.4,121,59.4,1450.6,944.4,38.4,94.6,91.2,937.2,339.4,27.2
594.4,70,235.2,151.7,330.4,267.4,130,102.4,283.5,0,322.8,192.6,162.8,128.6,295.6,489.3333333,436.9,777.2,403.4,254,21.8,881.2,546.3,0,59.2,196.9,683.2,490.2,108.6
525.8,128.2,411,333.6,581.6,240,105.4,330.4,236,0,305,527,137.2,328.8,138.6,541,431.4,1190,413.8,160.75,145.8,1046.8,283.6,6.8,8.7,293.6,934.2,366.4,135.6
649.6,295.6,493.6,149.9,482.6,216.2,0,321.2,364.5,0,564,672.2,90.4,554.6,291,214.3333333,537.5,717.2,157.4,220.75,78.8,1292,267.5,3,22.2,154,1003,217.4,240.2
1075.8,278.4,446.4,335.4,301.4,216,73.4,313.2,682,0,269.4,778,50.2,466.4,299.2,366,360.3,179.4,99,151.5,124.2,1112.4,256.5,3.8,136.5,79.5,744.8,330.2,138.2
389.2,219.2,97.6,211.8,168.6,167.4,50.2,434.8,723.25,0,426.6,357.6,87,626.6,365,156,325.2,361,90.8,148,82,924.4,351.3,3.8,74.8,51.5,880.6,268.4,232.4
552.6,121.8,156.4,194.6,162.2,81.8,2.6,327.6,352.75,2.6,277.2,345.4,92.2,512.8,121.8,690.6666667,384.9,687.2,156.4,66.5,116.4,998.2,161.9,22.4,78.6,89.6,717.2,335.4,45.2
514.4,165,126.2,125.1,242.4,152.4,27.6,295.6,249.75,0,366.2,418.2,77.8,433.4,132,683.6666667,354.6,431.2,152.2,192.25,29,1019.2,304,4.8,128.9,249.4,621.4,278.2,9.6
289.6,122.6,192.2,131.9,102.8,191.8,5,449.6,566.25,2.6,428.2,619.8,99.4,415.6,176.6,616,281.7,949.8,190.2,41,93.2,1063.4,595.5,10.6,143.8,374,769,322.5026308,22.2
639.4,99.8,251.2,307.1,322,180.6,12.6,410,670.5,188.6,481.4,970.6,212.4,668.6,76.2,672.3333333,246.5,676.6,373,47.25,9.6,851.4,547.1,44.4,14.5,260.6,685.8,337.8,36.6
94.8,132.2,178.6,296.5,100,204,7.6,853,351.75,25.6,359.8,1445.2,403.6,777.6,87.4,765,372.1,1333.2,263.2,158.25,153.6,1045.8,456.7,14.4,1,163.1,581,513.6,24.2
122,83.8,136.2,439,237.6,330.2,0,970.4,365.75,129.2,397.2,821.6,481.2,285,110.6,525.6666667,325,1111.2,186,120.25,112.2,812.6,261.1,21.2,26.1,292.1,426.2,376.6,11.4
158.2,105.8,112.4,493,164.2,286.8,7.6,864.2,440.5,33.2,404.4,583.8,197.4,330.8,154.8,923.3333333,415.7,973.4,458.4,373.25,99,579,198.1,1,91,155.5,538.6,506.4,8.8
116.4,53.8,114.6,223.5,277.2,125.5016288,30.2,1205.2,303.75,5.2,239.8,376,438.6,406.6,96.4,800.3333333,429.7,821.4,666,513,87,1194.8,241.3,1,62.2,8.5,706.5029094,417.6,130.4
286,107.4,180.6,165.7,193.6,276.6,22.6,1210.8,1129.25,28.2,565.2,724.8,201,113.2,86.6,446.3333333,367,682,343,465.5,358,1021.4,525.6,6.6,13.5,54,750.2,318.2,34.8
496.4,131.4,170.4,240.1,111.4,234.8,15,1269.8,759.75,51,775.8,702.4,318.8,185.6,25.2,480.6666667,282.4,281.6,210,197.5,89.2,607.6,115.2,10.6,34.9,193.8,568.6,420.6,40.6
390.4,603,554.4,266.9,142.6,182.2,25.2,1011.4,782.5,44,553.2,839.9315065,452.6,177.6,32.6,363.6666667,278.1,157.2,192.6,278,89.4,999.2,168.9,15.4,19.4,241.6,811.4,389.4,28
278.2,581,357.4,418.1,184.8,131,7.6,1073,677,33.2,510.8,602.4,351.2,305,75.4,368.6666667,220.4,80.4,151.2,434,155.4,544.8,186.9,2.8,8.3,217.4,755.6,335.2,85.6
126.6,779.2,229.8,446.2,194,268,47.6,1025.2,573.5,129.4,467.8,354,66.6,229.4,101.2,526.6666667,171.4,117.8,259.4,446,118.6,334,206.5,4.8,51.3,140.2,718,307.6,117
193.8,655.8,235.2,486.9,151.2,92,86.8,957.4,582.75,33.4,453.6,839.8,89.8,332.8,65.2,572,348,200.2,371,97.66530239,99.4,847,143.5,24.2,4.4,119.6,870.2,276.6,109.2
329.8,636,241.2,608.3,185.4,170.4,2.6,902.8,480.5,110.6,526,812.6,155,149,50.2,522.3333333,408.5,129.2,119.8,108.5,85.4,670.2,28.7,3.8,90.2,139.7,520,216.8,47.6
534.4,548.4,268.6,717.7,73,160.6,0,966.8,1019.5,41,202.2,665.2,181.6,166.6,135.6,716,319.1,186.4,206.2,94.5,68,439,168.4,4.8,39.6,65.3,424.2,296.4,51.2
42.8,470.6,180.2,699.7,96.8,121,35.6,1179.8,915.5,30.8,319.8,359.6,459.2,161.2,85.8,316.6666667,304.6,219.4,163,145.25,148.2,447.8,225.5,0,122.4,128.4,687.4,85.4,132.4
156.2,436.6,181,603.1,131.2,148.4,18.25696313,1194.8,944.75,140.8,216.2,521.4,462.8,361.4,158.2,623,331.5,556.6,264.2,661.5,312.4,498.4,37.7,17.4,96.6,68.6,902.8,380.4,162
238.4,299,467.2,564.5,175.4,95.6,71.4,1132,350.5,186.4,397.2,680.2,447.8,259.2,135,418,249.9,242.8,288.8,368.25,280.2,1135.4,68.4,11.6,13.4,143.4,363.8,349,178.2
91.4,253.8,347.8,484.7,114.4,95.4,32.6,934,452.25,35.8,152,783.2,377.2,414,496.4,502.6666667,447.1,552,131.2,184,173.2,989.6,135.1,7.8,66.3,138.3,575,290.6,170
218.4,336.4,448.6,259.8,84.4,53.2,58.2,944.2,305,244.8,221.2,252.2,106.8,340.4,266.4,993.6666667,417.4,495.4,116.8,133.75,139.6,1122.8,206.1,45.4,12.5,167.1,552.2,463.4,10.6
418.2,65.6,380.6,444.4,127,46.6,10,1150,498.5,220.5416579,207.2,246.4,118.8,219.4,389.4,1042,390.4,530.8,36.2,113.25,129.4,835,332.5,3,56,381.3,719.2,700.8,23.86874454
316.8,98.2,165,420.3,78,51.8,198.8,1122.2,520.75,43.6,222.8,611.6,186,45,142.4,645.6666667,367.8,577,111.4,468.75,178.8,559,817.5,23.2,144.2,301.9,870.6,746.8,83.6
431.6,163.8,29,150.3,95,146.6,113.4,1009.6,942.25,15.4,208.4,758.2,433.8,89.8,135.8,683.6666667,464,1089.8,33.8,519.5,98,796,521.3,14.4,114,305.3,1072.4,422,87.6
378.4,131.2,190.4,153.7,164.8,307.8,51.2,963.8,762.5,25.6,172.2,800.2,264.6,52.6,241.6,515.6666667,165.7,1446.2,41,85.25,154.6,717.2,282.4,46.2,227.3,337,1460,356.2,77.8
286.4,284.2,163,355.8,206,176.8,65.8,846.6,738,10.2,205.2,618.8,82.6,115.2,141,406.3333333,449.6,1283.2,49.2,86.5,155.6,1143.2,394.6,86.8,93.6,281.2,933,496.6,26
550.8,453.2,216,329.3,276.8,184.4,114.6,1252.4,621.25,527.8,162.6,632.6,327.6,40.4,85.6,462.3333333,694.1,1485.8,31.4,131,249.2,637.2,538.5,18.2,167.2,358.5,1036.6,409.8,54.2
604.2,242.2,148.8,193.8,103.2,237.2,59.2,874,227,289.4,234,453.6,189.4,165,126,443,447.3,1109.4,85.4,59.5,155,1003.4,352.8,21.2,74.2,604.6,1160,339.4,0
558.2,195.6,276.6,514.6,119.2,315,17.6,1109,459.75,280.6,349.2,289,14.4,214.2,183.2,536.6666667,313.1,994.2,69.4,9.5,270.8,1264.4,455.7,95.8,123.1,478.6,893.8,263.2,43.6
218.8,223.2,126.6,751.7,267.6,275.4,69.2,1072.8,465.5,211.4,476.8,221.4,224.6,75.6,174.6,439,344.1,765.4,58.8,126.75,156.4,563.4,250.5,87,74.4,299.6,1025.2,67.8,81.4
248.6,307.8,166.4,657.1,93.4,318.4,276,849.6,328,164.4,404.4,245.4,100,88.2,329,652,496.3,515.6,58.8,117.25,298.4,599,235.5,143,38.6,190,675.8,305.8,10.6
405.4,157.6,289.6,649.9,110.8,182.8,136,777.6,345.5,341.6,548.6,576.2,16.8,98.2,344.6,589.6666667,400.1,556.8,72.6,284.5,331.4,594.2,98.1,184.4,114.5,181.6,658.8,320.6,7.8
240.4,130.8,306,529.1,70.2,36,160,986.8,207.75,372.8,872.4,567.6,9.6,88.4,155.2,514.6666667,194.3,318,2.4,192.5,307.2,467.4,78.7,33.8,103.8,58.6,648.8,238.1026308,2.8
157.6,308.2,299.4,314.8,120.2,59.8,163.6,959,96.5,406,599,382.8,53.4,176.4,53.4,668.3333333,301,275.4,12,103.75,158.8,365.4,151.4,17.4,161.2,109.9,1020,259.2,0
128.4,241,181.2,237.4,97,57,140.4,954.2,212.5,514.6,444.4,889,29,85.4,88.4,595.6666667,222.3,325,71,151,464,400,271.8,179,92.5,112.5,764.6,461.4,3.8
173.8,56.8,117.8,304.5,213.6,56.4,201.2,993.8,478.25,362.4,587.6,903,46.2,174.4,218,273.3333333,367.7,105.6,55.6,109.25,408.2,532.8,304.6,54,61.8,77.6,534.8,351.2,3
242.6,268.4,219.2,175.2,138.2,51.2,479.4,861.6,204.5,206.8,552,1094.6,38.6,89.4,348.2,257,319.9,236.2,33.8,81.5,140,1095.4,190.9,228.4,133.9,44,700.2,271.2,11.6
508.8,281.2,289.6,316.5,191.2,102,289.2,1011,491.25,100,516.6,1008,84.4,482.4,246.4,99,514.9,165.4,86.8,44,225,1125.4,149.8,112,101.4,140.4,421.8,438.8,0
142.4,270,135,152.9,211,92.2,173.2,647.4,266,543.8,323.2,382,62.2,145,136.8,555.3333333,429,196.4,183.4,101,131.4,1344.8,37.8,122.2,151.2,123.4,356.6,491.2,12.6
49.8,239,123.4,167.6,109.2,41,176,525.2,757.25,822.6,269.2,311.8,21.6,189,143,220.3333333,302.7,193,174.4,247.25,195.2,1317.2,105.5,76.8,430.8,313.7,212.2,772.6,9.6
40.2,96.2,244,247.4,98,66.6,157,559,314.25,158.4,136.8,1397.8,36.4,263,189.2,414,264.2,169.6,213.6,109.25,294,1634.4,52.7,109.2,180.4,325.6,290.8,556.2,79.8
52.6,124.4,363,383.5,110,46.2,37.8,743.4,313.25,749.6,165,1175,89.8,231.4,298.2,190,272.1,198.2,67.6,295.5,551.4,2597.8,80.1,264.2,293.3,516.5,369.2,430.6,64.8
99.4,139.6,369,353.1,93.8,146.4,171.8,745.8,673.75,228.8,137,462.8,12,302.8,322.8,438.6666667,404.3,209.6,118.4,456.25,396.4,1331.2,35.3,317.6,106.7,227,374,486.2,144.2
199.8,113.4,196,258.5,167.4,229,222.4569631,969.4,995.25,479.2,146.2,270.8,31.4,504.4,270.2,630.3333333,358.6,180.2,36.2,160,228.4,1313,27.6,318.8,3.8,205.4,435.8,436,117.4
161.2,116.2,357,268.6,208.6,80.8,22.8,875.2,978.75,601.2,189.2,421.6,50.8,231.4,305.2,525.3333333,324.4,280,348.2,82,399.8,1109.6,70.1,296.6,2.5,301.6,499.6,307.8,157.6
569.2,212.6,232.4,158.1,62.8,41,150.6,980.8,485.5,340.4,202.2,376.4,36.2,263,666,738,485.4,394.4,241.8,203.75,256,465.8,74.5,192.8,48,286.9,384.4,309.8,208.8
151.6,66.4,213.8,178,158,7.8,214.8,1008,596.75,61.4,497.6,396.4,0,140,779,407,664,251.4,131.8,194.5,384.6,505.4,34.4,204.4,164.8,334.2,416,324.2,286
142.6,90.2,204.8,145.8,252.6,39,193.8,796.4,371.5,172,575.2,1297.6,48.2,152.2,325.6,566.6666667,360.8,211,98,349.25,150,473.8,4,145.8,238.4,229.3,436.4,235.4,276.4
385.4,177.2,252,391.5,208.6,28.2,302.2,1019.6,349.5,247.8,299.6,789.2,33.8,362.4,262,574.3333333,573.5,116.2,73.8,127.25,181.8,588.4,8.1,35.8,77.73019592,334.4,279.6,329.2,139.6
272.2,114.2,114.8,422,140.4,10.2,277.6,1334.4,446,149,184,615.4,59.8,250.8,101,411.3333333,476.9,107.6,154,96.25,166.4,567.6,38.9,48.4,196.7,285.3,362.4,341.8,124.8
308,251.8,220.2,263.6,96,66.2,254.2,831.6,510,397.4,200.2,814.4,24.2,186.8,206.8,574.3333333,407,178.4,151.8,137.5,309.4,330,60.3,29.8,320.3,315.5,340.2,356.2,30.8
360.6,189,322,265.9,55.6,178.4,176,672,193.75,446.4,227,568.2,31.2,30,304.6,493.3333333,344.7,298,65.2,22.25,311,525.4,110.5,93.8,97.7,311.4,386.2,461,75.4
205.8,262.2,153.6,372.6,101.8,39,183.8,935.8,299.25,514,224,527,65.6,341.2,430.4,408,359.8,238.4,202.8,22,186.8,580.4,185.7,236.4,158.9,361.2,672,384,58.8
75.4,36,248.6,469.6,195.2,30.6,106.4,735.8,411,390.2,146,1092.2,12,423.6,408.6,366.6666667,345.4,180.8,21.6,44,262.2,623.8,11.1,83.8,165.8,117.4,589.2,300.4,109.4
164.6,105.4,251.6,279.7,312.4,35.8,222.4569631,701,482.5,228.4,539,551,58.2,292.2,311.8,383.3333333,277.7,153.4,21.8,56.5,357.6,818.4,66.4,150.8,117.1,176.6,731.6,568.2,56.8
167.6,145.6,452.6,265.3,77.6,35.8,138.6,255.2,419.5,175.6,458.6,743.2,24,428,576.4,130,336.5,127,186,69,306.8,1144.4,66.6,164,90.3,206.8,876.4,231.4,94.8
277,145.8,137,320.4,148.2,5.2,301.6,260.6,419,234.4,570.2,1024.8,24.2,390,141.2,724.3333333,266.3,61.4,272,9.5,289.8,693.8,38,490.6,54.1,148.1,829.6,432.6,140
100.6,231.6,263.4,437.5,137.2,78.8,47.2,388.2,286.75,233.9416579,498.6,474.4,59,478.6,40.2,562.6666667,242.1,107.4,635.6,91.75,307.8,666.6,129.6,108.4,90,205.1,621.4,310.8,100.6
288.8,170.4,189.4,834.6,142.4,108.6,181.2,367.8,431,370.2,371.4,624,33.8,260,129.4,740,378.8,121.4,312.4,229,236.8,740,159.8,112.2,95,167.3,455.2,260.2,132.8
580.4,157.4,68.8,571.8,263.6,57.4,121.4,407,378.5,470.2,551.2,548.6,43.4,342.8,97,533.3333333,244.2,134.6,445.2,485.75,192.2,633.2,201.8,133.4,29.5,121.6,355.4,158.8,98.4
173,36,300.8,456.1,171,20.4,245,420,290.5,468.4,265.6,799.2,21.8,128.2,186.4,272.3333333,314.8,174,45.8,22.25,267,420.6,141.2,54.8,50.8,134,161.6,372.4,17.4
133.2,77.4,242.4,445.5,141.2,36,42.8,509.6,562.75,580.3416579,209.8,652.8,31.4,186.8,114.4,638.3333333,218.2,284.4,60.2,78.5,229.8,428.8,86.6,244,70.4,204.2,234,256.4,50.2
52.8,128.6,213.8,459.7,247,107.6,116.8,774.6,784.25,362,213.2,467.2,50.8,83.8,198.6,513.6666667,316.2,151,160.8,657.5,120.2,378.4,44.8,187.8,36.6,269.6,416.6,385.6,132
40.8,148,216.4,345.7,153.2,256.6,119.4,879,751,363,380.4,536.2,91.8,150.6,122.6,703.3333333,242.6,71.6,237.8,599.5,153,339,7,208.2,21.3,112.6,477.6,265.4,137.2
188.8,191.4,414.2,339.8,213.6,53.8,196.2,961.6,875,442.4,254,466.7315065,74.8,268.2,27.8,605.6666667,307.8,523.4,423.2,643,132.2,220.6,63,200.4,17.4,150.9,700.8,285.8,287.6
82.6,92.2,345.6,261.5,102,65.4,44.6,827.2,940.5,651.2,656.8,1369,67,265.2,70.2,633,307.6,286.6,115.4,490.5,168.6,535.8,99.4,289.8,30.8,157.5,552,256.8,113.8
27.6,179.4,265.6,298.9,57.8,67,98.4,721.4,1393,619.6,581.8,1222.2,38.6,181.6,65.4,715.3333333,149.3,417.8,123,269.75,177,405.8,59.8,171.2,14,324.6,628.4,456,145
85.2,96.2,346.2,345.4,81.2,81.4,15,831.8,865.75,389.2,170.2,643,61.2,319.8,35,638.6666667,323.9,508,50.6,601.5,300.8,792.6,111,116,8.2,242,513.6,363.4,149.2
25.2,70.2,221.6,649.2,210.6,171,56.8,528.8,541.25,623.2,306.6,723.8,36.2,172.8,148.6,679.6666667,409.3,199.8,112.6,634.25,198.8,775.8,11,49.2,15.1,115.7,470,226.4,160
45.2,75.2,326,456.8,126.8,197.8,86.8,903.8,893.75,574,246.8,863.8,44.8,180.2,65.2,797,340.3,206.8,120,602.5,336,894.8,70.6,212.4,16.4,92.8,434.2,476.4,90
66.4,128.2,170,371.4,198,94.2,25,1155.2,574.25,278,312.8,510.6,16.8,427.2,45.2,467.6666667,354,225.4,111,541.5,271.4,627.2,63,207.2,23.9,108.7,488.4,302.4,153.4
71,132.8,120.2,618.7,411.6,36,135.4,1214.2,600.25,112.6,205.6,757,29,306.2,304.2,286,289.7,54.6,95,600.5,341,518.2,247.7,291.2,31.5,239.9,348.8,404,218
110.6,56.2,211.8,674.7,263.8,84.4,154.6,914,1019,51.2,203.4,540.6,43.8,493.4,101.4,335.6666667,363.8,231.6,239,733,254.4,491.6,200.6,173.4,11.1,18,657,373.4,127
124.8,194.2,241.2,417.1,152.6,142,218.4,738.4,745.5,200.8,127.2,416,77.2,374.4,7.6,368.6666667,367.6,249.8,367.6,251.5,88.2,273,113.3,178.6,30.6,99.8,407.2,262.6,80.2
128,59.2,133.2,304.3,217.4,60.4,72.8,812,791,155.2,343.6,661.6,46.2,265,37.8,346.6666667,471.3,397,353,328.75,48.2,512,91.4,91.8,42.3,324,186.8,243.1026308,114.4
116.6,98.8,97.2,396.8,55.6,86.6,51.2,1002.4,702.75,111.2,40.2,795.4,153.8,278,35.2,281.6666667,327,491,360.2,539.5,82,837.8,312.6,87.8,90.3,353.6,356.4,208.8,143
97,539.8,251.2,454.9,206.8,245,139,933.6,823.75,142.8,93.4,1059,108.6,76.4,45,399.3333333,248.2,245,265.8,380.25,256,647.6,217.6,116.6,234.4,198.5,223,355.2,23.2
67.8,283.8,248.2,502.1,181.2,235.6,0,694.4,925.5,222,101.4,1733.4,110.6,71.2,88.4,356.6666667,308.3,197.2,281,729.75,75.2,537.4,235.5,178.6,274.1,246.1,474.6,277.4,69.8
145.2,318,109.6,310.6,241.6,93,0,514.6,819.25,265.8,97.2,1723.6,70.61162871,90.4,201.2,686,571.9,273,179.6,612.5,86.8,371,154.8,126.8,289.7,241.6,293.8,191.8,150.4
101,161.6,338,725.8,171,142.4,30.65696313,565,787.5,255.6,117.8,863.8,46.2,56.2,183.8,478,581.4,259,183.8,114.25,231.4,105.2,377.1,53.4,180.4,266.4,251.8,324.2,161.6
166,316.6,266.8,443.2,315.6,102,99.4,743.4,711,65,144.8,1345.8,28.8,70.2,12.6,449.6666667,677.6,244.8,133.8,650,247.6,80.4,338.3,254,178.1,227.4,392.6,358.8,77.2
112.4,276.8,291.6,246.4,183.8,147.4,61.4,801.2,969.5,157.8,128.8,1238.2,83.6,347.6,25,1220.333333,240.8,162.8,138.6,253.25,186.8,118.6,175.3,313,394,376.7,472.2,339.4,65.6
137.4,289.2,248.6,260.7,106.8,156,230.8,823.8,811.25,317.6,123.6,664.2,99,377.8,208.8,220,539.2,292.8,163.8,153,166.8,139,88,296.2,492.4,204.4,185.6,348.4,187.2
137,402.6,314.4,282.6,311.4,288,111.8,1157.2,838,316,206.4,969.2,82.6,112.6,141.6,397.6666667,478.4,234.8,109.6,443,134.6,42,104.2,159,186.6,134.7,359.8,198.6,490.2
80.4,205.4,139.2,96.2,314,159.4,199.8,1010.6,687.25,301.2,81.4,417.6,185.6,180.2,229.4,408,411.8,193.4,274.4,147.25,176.2,74.2,248.9,216.4,208.5,154.7,198,221.4,173.4
69,496.2,311.6,190.6,520.8,419.4,51.6,624.6,438.5,258.6,158.4,397.8,233.4,228.8,43.2,131.6666667,441.7,181.2,290.2,354,165.2,144.8,311.6,230.4,162.2,156.1,210.6,360.2,49.2
78.8,206.4,171,230.7,358.8,103,30,723.4,707.75,134.2,122.4,296.2,163.2,285.6,60.2,489,474.8,221.6,288,735.25,142.4,76.2,533.8,264.6,51.9,87.8,141.2,275.6,172.2
32.8,331.6,190.8,298.2,315,176.6,88.4,622.8,463.75,518.8,317.2,266.4,139,291,22.6,317.6666667,362.1,235.8,174.8,511.25,209.4,177.2,406,196.2,99.9,69.1,258.6,504.5026308,71.2
171.8,111.8,128.6,167.3,651,117.8,17.6,612.4,871.5,127,171.6,443.8,65,263.6,155.2,343,364.3,294.8,184.2,173.4153024,196.8,169.4,517.6,258.6,99.7,175.5,90.2,609.4,152.8
444.6,163.6,157,372.5,214.4,126,55.6,518.8,846.25,881.8,183.8,771.2,80.6,184.8,248.4,306,452.3,330.4,165.6,368.5,277.2,247.8,254.7,346,148.4,107.7,75.2,534.6,32.8
451.4,299.6,155.4,443.1,468.6,165.4,67.6,453.4,429,846.8,252,474.4,103.8,252.8,177.6,686.3333333,364.2,158.6,185.8,555.75,133,238.8,205.8,170.2,244.6,199.2,135.6,314.2,158.4
365.2,118.8,293,802.5,146.8,155.2,50.2,435.2,658,402.4,313.8,764.2,49.6,310.2,169.6,739,374.5,287.8,355,594.75,218.4,108.8,224.7,210.2,171.5,73,424,357,103.4687445
221.4,267.2,209.2,249,209.6,198.8,226,650.4,453.5,708.6,167.4,805,79.2,286.6,250,215,455,209.8,118.4,189.5,168,124.4,48.5,236.2,233.9,184.8,103,310.8,157.2
221.2,296.6,177.6,208.6,242.4,185,126,460.2,34.5,631.4,293.6,815.4,96.6,103,449.2,529.3333333,432.5,152.6,338.4,424.75,133.2,121.2,32.8,262.8,275.9,16,163.8,247.6,72.4
342.8,411.8,378.8,146,187.4,153.6,77.8,368.2,44,326.8,265.6,1190,46.2,191.2,344.4,376.3333333,491.1,317.4,168.6,696.25,396,123.8,0,122.6,243.4,17.5,645.8,280.2,87.26874454
308.4,270.8,200.6,258.2,169.2,224,87.2,488.4,67.25,359.4,303.8,531.2,92.6,171.2,186.2,485,472.5,320,394.2,440.5,227.4,255,89.6,144.8,374.6,82.1,537.8,306.2,332.2
