Subj_1,Subj_2,Subj_4,Subj_5,Subj_6,Subj_7,Subj_8,Subj_9,Subj_10,Subj_11,Subj_13,Subj_14,Subj_15,Subj_16,Subj_17,Subj_18,Subj_19,Subj_20,Subj_21,Subj_22,Subj_23,Subj_24,Subj_25,Subj_27,Subj_28,Subj_30,Subj_31,Subj_33,Subj_34
0,0,0,0,77.8,0,0,28,12.5,133.2,32.6,0,9.6,0,0,0,6.4,15.4,0,183,14.4,0,0,183.8,40.1,92.7,167.6,0,7.6
37.6,0,0,49.9,17,0,0,120,55.75,296,0,0,31.4,0,0,21.33333333,0,7.8,0,6.25,184,38.2,0,357.8,61.3,193.1,20,0,65.8
7.6,0,0,87.1,14.4,0,0,58.2,131.75,251,35.2,0,4.8,7.6,0,117.6666667,9,0,0,0,14.4,17,0,300.2,38.8,348.1,11,27.6,15.2
7.6,0,54.6,112.8,37.2,0,0,77.8,67.25,135.8,0,15,9.6,15,47.6,0,0,0,9.6,6.25,4.8,9,0,129.8,61.8,157.4,0,44.6,85.06874454
0,0,34.2,136.9,19.4,0,0,2.4,31.5,76.8,7.6,0,72.8,0,22.6,0,0,5.2,7.2,3.25,4.8,0,0,58.8,59,132.9,0,53.8,88.8
15,0,2.4,150.1,7.2,0,0,25.6,37.75,133.8,72.8,0,56.4,15,0,17,33.3,0,51.6,0,2.4,0,0,202,17.5,151.3,6,20,328.0687445
0,2.6,97.6,112.2,9.6,0,5,135,3.25,69.8,2.6,0,26.6,0,0,0,46.2,0,0,0,21.8,0,5,932,22.5,102.7,23,47.6,234.2
113.8,0,19.4,26.5,4.8,0,0,25.6,25,194.6,0,0,85,12.6,0,34,7.7,0,12,3.25,4.8,0,9.2,793,76.8,305.2,117.4,30.2,140.4
38.6,0,162.2,10.5,12,2.6,0,47,0,117.8,5,0,122.6,0,0,86.33333333,0,0,0,3.25,9.6,0,0,420.2,124.2,236,80.9029094,0,115.6
134,0,87,39.8,4.8,2.6,0,0,22,30.8,2.6,2.6,38.6,0,106.4,325,0,0,7.2,12.5,0,77.4,24.6,401.2,37.8,119.7,126.6,0,77.8
168.2,0,14.4,69.4,14.4,0,7.6,38.2,0,5.2,0,10,90.4,0,85.4,135.6666667,23,2.6,70,59.75,60.2,0,0,477.6,77.06039184,103,0,2.6,0
180.8,2.6,164.6,55.2,21.8,0,0,2.4,0,0,25,5.2,102.4,0,210,371.3333333,0,2.6,31.4,9.5,99.2,24,0,809.4,52.2,192.6,9,22.6,150.8
126,2.6,80.2,52.6,46,0,0,0,0,0,5,41.6,24.2,83.4,10,274,0,130.6,4.8,65.75,50.8,0,8.2,402.4,75.3,274.6,0,0,101.2
77.2,7.8,174.4,24.8,97.6,56.2,41.6,35.8,0,7.6,0,10,2.4,147.6,0,179.3333333,38.4,155.2,33.8,25,12,123.6,32.7,532.4,48.8,196.2,76.2,0,316.4
10,5.2,93.8,16,0,50.8,10.2,0,0,0,12.6,0,19.2,2.6,0,651,64.1,128,0,12.75,14.4,0,0,324.8,56.5,280.7,100.8,0,300.6
83.4,20.4,26.6,27.4,14.4,18,0,0,0,5.2,0,10,33.6,43.6,7.6,520.6666667,89.9,7.6,0,18.75,14.4,16,0,661.8,20.3,96,69.2,38.6,75.4
0,49.6,73.4,65.2,2.4,7.6,5,0,3.25,7.6,56.8,12.6,26.4,2.6,0,106.6666667,10.2,10.2,45.8,204.5,43.4,0,0,567.2,8.7,250.4,13,0,168.4
52.6,85,63.2,56,4.8,20.4,5,14,34.5,7.6,0,65.6,112.2,22.6,2.6,0,0,0,16.8,31.25,12,0,0,298.6,18.8,353.6,16,0,200.6
170.2,41.6,7.2,32.9,113,0,20,0,113,61,0,5,87,12.6,47.6,0,0,0,0,190.75,63.2,0,0,330.6,47.8,246.2,222,0,47.4
2.6,0,0,5,167.2,0,5,0,0,42.4,0,38.6,85.8,0,0,0,0,0,4.8,31.25,112.4,0,0,87.2,1,182.4,19,0,73.6
0,2.6,26.6,6,184,0,0,47,34.5,2.6,0,27.6,19.4,0,0,0,64,2.6,4.8,145.5,36.2,0,0,134.8,11.6,244.6,55.2,0,41.4
0,0,19.4,13,169.6,136.8,0,121.8,91,7.6,12.6,67.2,43.4,20,22.6,0,0,0,0,12.5,19.4,0,0,174.6,29.6,81,1,10,5.8
35.6,0,12,104.8,129,222.8,0,0,82.25,0,15,2.6,7.2,0,0,0,98.9,70.6,0,0,166,25,47,171,21.7,35,113.4,0,45.2
