Subj_5,Subj_7,Subj_8,Subj_10,Subj_14,Subj_15,Subj_18,Subj_23
265.9,178.4,176,193.75,568.2,31.2,493.3333333,311
372.6,39,183.8,299.25,527,65.6,408,186.8
469.6,30.6,106.4,411,1092.2,12,366.6666667,262.2
279.7,35.8,222.4569631,482.5,551,58.2,383.3333333,357.6
265.3,35.8,138.6,419.5,743.2,24,130,306.8
320.4,5.2,301.6,419,1024.8,24.2,724.3333333,289.8
437.5,78.8,47.2,286.75,474.4,59,562.6666667,307.8
834.6,108.6,181.2,431,624,33.8,740,236.8
571.8,57.4,121.4,378.5,548.6,43.4,533.3333333,192.2
456.1,20.4,245,290.5,799.2,21.8,272.3333333,267
445.5,36,42.8,562.75,652.8,31.4,638.3333333,229.8
459.7,107.6,116.8,784.25,467.2,50.8,513.6666667,120.2
345.7,256.6,119.4,751,536.2,91.8,703.3333333,153
339.8,53.8,196.2,875,466.7315065,74.8,605.6666667,132.2
261.5,65.4,44.6,940.5,1369,67,633,168.6
298.9,67,98.4,1393,1222.2,38.6,715.3333333,177
345.4,81.4,15,865.75,643,61.2,638.6666667,300.8
649.2,171,56.8,541.25,723.8,36.2,679.6666667,198.8
456.8,197.8,86.8,893.75,863.8,44.8,797,336
371.4,94.2,25,574.25,510.6,16.8,467.6666667,271.4
618.7,36,135.4,600.25,757,29,286,341
674.7,84.4,154.6,1019,540.6,43.8,335.6666667,254.4
417.1,142,218.4,745.5,416,77.2,368.6666667,88.2
304.3,60.4,72.8,791,661.6,46.2,346.6666667,48.2
396.8,86.6,51.2,702.75,795.4,153.8,281.6666667,82
454.9,245,139,823.75,1059,108.6,399.3333333,256
502.1,235.6,0,925.5,1733.4,110.6,356.6666667,75.2
310.6,93,0,819.25,1723.6,70.61162871,686,86.8
725.8,142.4,30.65696313,787.5,863.8,46.2,478,231.4
443.2,102,99.4,711,1345.8,28.8,449.6666667,247.6
246.4,147.4,61.4,969.5,1238.2,83.6,1220.333333,186.8
260.7,156,230.8,811.25,664.2,99,220,166.8
282.6,288,111.8,838,969.2,82.6,397.6666667,134.6
96.2,159.4,199.8,687.25,417.6,185.6,408,176.2
190.6,419.4,51.6,438.5,397.8,233.4,131.6666667,165.2
230.7,103,30,707.75,296.2,163.2,489,142.4
298.2,176.6,88.4,463.75,266.4,139,317.6666667,209.4
167.3,117.8,17.6,871.5,443.8,65,343,196.8
372.5,126,55.6,846.25,771.2,80.6,306,277.2
443.1,165.4,67.6,429,474.4,103.8,686.3333333,133
802.5,155.2,50.2,658,764.2,49.6,739,218.4
249,198.8,226,453.5,805,79.2,215,168
208.6,185,126,34.5,815.4,96.6,529.3333333,133.2
146,153.6,77.8,44,1190,46.2,376.3333333,396
258.2,224,87.2,67.25,531.2,92.6,485,227.4
159.8,130,50.6,102.25,992.2,38.6,425.6666667,174.8
218.2,229,20.2,123.25,536.6,205.8,198,218
335.3,294,0,66.5,747.8,128.4,646,156.4
340,257.4,41.6,176.25,1005.8,240.8,346.6666667,105
666,305.8,22.8,775.25,928.6,234.6,123.6666667,175.4
644.7,160.2,152.6,668,954.6,251.4,171.6666667,220.2
557.7,120,294.8,271.75,445.2,315.8,217.6666667,199
587.5,125.8,25.2,318.75,345.4,356.6,205,79.2
728.7,118.8,20.2,268.5,417.6,353.6,106.6666667,136.6
580.6,133.4,7.6,122.75,644.8,525.2,115,158
309.2,207.8,63.2,126.75,756,523.6116287,367,188.8
312.9,70.2,325.2,77.75,770.4,468.4,173,133.8
300.7,87.8,119,65.25,332,636,239,71.8
364.2,141,123,477,404.6,756.4,625.6666667,131.4
416.5,122.8,134,359,762.8,670,761.3333333,88.2
539.1,186,350,291.25,772.4,526.8,816.6666667,144.4
587.2,342.6,289,635.5,526.2,485,68.33333333,105.2
778.1,179.8,126.4,412.25,836.4,473.4,106.3333333,33.6
826.8,174,186.4,152.25,470.2,388.6,252,24
865.1,105,310.8,868.25,1281.6,588.8,255.3333333,21.6
1189.6,249.4,482.8,772.5,887.8,919.2,683.6666667,16.8
913.9,196,323.8,562.25,795,502.8,982.3333333,79.6
739.8,126.6,190.2,650,486.4,222.6,939.3333333,38.8
91.7,180.8,269,701.25,1209.2,422.2,552.3333333,72
290,213.4,218.4,614.75,1030.8,477.2,901.6666667,160.4
307.3,187,180.2,673.25,688.2,602.2,412.3333333,114
438.4,102,173.8,763.5,427.2,343.6,834,55
342.8,82,332.4,493.25,567.8,757.6,425,56
224.6,71.4,383.4,583,428,1152.4,420,41
245,95.2,561.2,542.25,532,843.4,718.6666667,106.2
633.6,61.4,339,382.75,829.8,757,1007.666667,133.8
288.9,38.4,125.4,255.5,930.2,654.4,1094.333333,168.2
551.1,56.2,246.4,324.25,745.2,274,1009.666667,148.6
746.4,63.8,191.4,298.75,706.4,296.6,761.3333333,108.2
392.4,41,373,285.75,893.4,843,782.3333333,88.4
436.2,133.2,347.4,321.5,1493.4,441.2,963.6666667,261.4
309.4,118.8,175.6,292.5,1073.4,416.2,1499.333333,184.4
405.6,104,130.4,382,2090.2,589.2,1032.666667,141.8
389.3,38.4,186,196.5,696.2,370.4,626.6666667,193.2
365.1,30.8,380.4,194.25,634.2,339.8,449.6666667,294
334.4,0,348.8,358,632.8,820.4,217,166.2
332.7,46,59.2,453.5,374.4,585.8,1011.333333,210.6
226.6,53.6,152,268,558.6,438.6,557,174.2
145.2,82.6,5,656.25,747.2,374.8,457.3333333,368.6
184.8,133.6,10,1392,1076.6,304.4,457.3333333,137.6
347,121.8,0,906.75,313.2,139.2,250.6666667,72.6
321.5,81.8,7.6,692.5,965.6,128.8,604.3333333,0
575.5,121.8,7.6,876,636,163.2,633,36.2
735.7,125.4,242.8,1161.25,701.2,151,566,77.2
803.1,193,436.2,1611.5,814.8,108.8,282.6666667,105.4
938.2,73.8,234.4,1279.5,538.6,48.4,522.3333333,87.4
798.5,111.6,77.8,784.25,603.2,120.6,462,46.2
1202.6,153.2,2.6,663,897.6,91.8,430.3333333,64.2
553.3,116.4,12.6,713.25,845.4,171.6,289.3333333,119.4
308,72.2,5,1353.75,1034,373,153.6666667,36.2
258.5,64.4,44.6,507,550.8,474.4,157,53
275.6,43.6,32.6,775,529,339,184.3333333,91.8
197.7,140.8,12.6,437.75,783,288,134.6666667,134.6
384.1,160.2,20,387.75,888.8,301.4,17,195.6
433.1,149.6,38.6,423,917.8,232.8,221,115.8
188.6,191,5,656.25,899,163.2,17,67.2
505.1,220.2,41.6,627.5,781.4,251.6,421,67.6
793.7,230.4,25,1043.5,567,50.6,316.6666667,9.6
379.2,51.2,65.8,466.75,600.8,308.6,585.3333333,149.6
355.3,57.8,50.6,1181.25,572.6,365.8,875.6666667,16.8
457.2,112,20,566.5,896.4,426.8,124.6666667,14.4
368.2,192.6,30.2,767.25,480.8,71.8,1068.666667,41
573,109,59.8,933,910,41,314,65.2
341.1,92.4,41.6,692.5,553.6,52,766.3333333,38.6
344.4,35.8,25.2,361.5,1031.6,69.4,861,149.2
268.6,165,398,721.25,911.2,63.2,514.6666667,102.8
122.8,284.2,125.4,479.5,616.4,87.4,857.6666667,130.4
298.9,188,125,739,706.8,58,188,29
601.6,135.6,126.4,787.5,1189.4,119,117,0
406.0738061,178.2,40.6,590.5,850.4,48.4,42.66666667,57.8
395,131.2,144.6,952,846,53.2,614.3333333,41.4
740.7,38.6,27.6,980,1343.2,66.2,1036.333333,62.6
847.5,118.4,20,1129.75,1169,55.4,1090,72.4
837.3,182.8,17.6,927.25,894.4,106.8,643.6666667,19.4
1269.6,126,12.6,1238.5,778,136.4,565,48.4
1051.2,219.2,2.6,1418.5,920.4,83,501.6666667,92.2
589,322.2,10,1170.75,1353.2,107.2,879.6666667,42
375.4,213,133,712.25,867.4,33.6,575.3333333,60.8
923.7,180.8,178.8,1086.75,991.8,82,356.6666667,7.2
784,110,111.4,960,844.6,58.2,494.3333333,41
599.9,259.6,55.4,664.25,970.8,74.8,823.6666667,33.6
333.3,278,253.2,936.75,1093.2,74.8,368.6666667,65.2
365.5,226.8,7.6,543.25,969.6,53.2,321.6666667,31.4
501.5,227.2,5,317,1162.6,36,775.6666667,24.2
772.6,214,0,448,1001.4,52,502.6666667,33.6
1098.9,302,134,671.5,581.4,53,399.3333333,110.4
759.4,292.2,97.4,811.75,305.8,106.2,162,62.8
815.1,231.4,0,583,510,43.4,445.3333333,110.6
651.4,158.2,72.8,857.75,441.8,36.2,198,7.2
509.7,187.4,265,1162,563,43.4,55.33333333,69.4
1110,243.2,422.6,916.75,566.2,48.4,175,67.6
621.3,193,142,587.75,477.6,212.2,286,55.4
638.1,80.4,301.2,633.75,630.4,281.2,207.3333333,132.2
653,337.4,159.8,554.5,431.2,304.6,531,198.4
713,107.2,181.2,924.25,239,313,265.3333333,146.8
891.4,301.2,196.2,921.5,311.4,250.4,315,181.4
976.8,318.4,235,1081.25,512.6,279,109,107.6
778.5476123,384.6,241.4,1313.25,291.8,211.6,396,36.2
881.2,249.4,254,1333.25,187.6,92.2,127.6666667,155.8
699.1,248.4,212.4,1099.75,470.2,54,702.3333333,259.8
829.9,109.6,50,995.5,485,71.4,778.3333333,138.6
680.1,181.8,166.2,591.75,779,360,695.6666667,21.6
647.4,144.4,84.8,605,763,272.2,798,71.2
723.4,127.6,129.6,1109.75,1340.2,198.2,552.3333333,31.2
512.1,127.6,186.2,711.5,755.6,155.6,926.6666667,65.4
903.4,146.2,188.8,545.5,718.6,55.6,565.6666667,65
726.7,302,156.6,594,490.6,94.2,849.3333333,14.4
475.9,275.4,161.2,801.75,460.4,26.6,932.6666667,26.6
606.3,97.2,125.4,643.25,437.8,70.6,805.6666667,19.2
670.3,134.2,117.4,822.25,615.4,156.8,657,56
400.5,67.6,105.4,1036.5,335.2,138,546.6666667,43.6
676.7,30.8,12.6,653.75,92.8,55.4,514.3333333,24
513.9,66.6,10,374,108.6,56,330.3333333,43.8
607.1,98.4,0,700.25,229.8,55.6,469.3333333,107.6
631.9,87.6,2.6,818,424.6,43.6,287.6666667,144
537.5,134.2,0,891.5,340.4,65.2,378,52
641.8,116.4,0,716,354,229,717.6666667,54
931.6,67.6,0,974.5,151.6,187.8,496,12
654.6,49.6,20,611.25,103.4,98,307.3333333,26.4
472.2,161,0,502,182.6,120.6,548.6666667,26.6
484.2,113.2,0,436,120.4,161.4,521.3333333,86.4
393.7,48.6,0,561.5,140.4,341.6,413,120.8
443.2,53.6,0,583.5,398.8,273.4,521,108.8
608.7,187.4,0,357.75,437.8,256.4,552,167.6
921.5,66.6,0,505,988.2,177.4,578.6666667,112.6
611.6,112.4,56.8,287.25,589.6,156,571.6666667,29
357.1,87,76.4,305.75,761,131.4,616.3333333,38.6
551.2,99,52.2,629.25,935.8,91.8,601,78.6
461.8,40.8,181.4,638,944.6,93.6,806.3333333,33.8
1154.6,212,298.2,654,829.8,60.2,630.6666667,31.4
618.9,197.2,30,1394.75,801,134.2,333,36
608.7,90.2,20,1084.75,975,116.4,946.3333333,62.2
602.2,156.6,20,1185.75,717.2,62.6,847.3333333,38.6
497.4,144,0,1012.5,845.6,28.8,1004.666667,73.8
492.7,175.6,0,845.75,916.4,164.2,349.6666667,109
440.4,108,0,574.5,1437.2,68,493.3333333,130
389.5,7.8,2.6,402.75,740.2,7.2,573.3333333,140
526.8,114.6,46.2,470,1386,48.6,337,14.4
265.9,167,5,317,1015.8,33.6,474.6666667,71.4
267.6,298,5.2,298.5,594.2,62.8,631,64.8
574.7,184.4,5.2,319,549.6,90.2,296,58
852.1,152.4,45.2,508.25,889.8,107.2,235.3333333,33.6
839.9,79.4,342.4,135,613.4,107.2,235.6666667,62.8
303.4,159.8,158,299.25,911.4,174.8,262,155.4
417.9,91.6,96.8,268,846,100.4,341.3333333,154
515.6,41.6,166.2,357.5,653,95,194.6666667,116.4
379.2,238.2,229.4,297.5,1322.6,203.8,419,181.4
349.1,113.8,389.6,238.75,916.4,147.2,585.3333333,146.8
571.1,78,349.8,276.25,727.4,122,224.3333333,79.6
360.5,33.2,87.4,226.75,226,180.2,246,166
388.2,12.8,41.6,525.75,862.4,143.2,267,85.4
500.9,93.6,59.8,453,1197.6,262.4,314,73
482.2,92.8,423.6,649,845.8,297.6,684.3333333,87
376,164,213.8,941.25,849.2,348,458.3333333,118.2
235.9,171.6,472.8,1191,1214.8,111.2,256.3333333,107.6
408.3,137.8,196.2,1012.5,845.6,24.2,415.6666667,78.4
236.9,74.8,262.2,626,549.4,29,464,88.2
224.5,103.4,268.6,308.75,477.2,70.4,508.6666667,99.4
608,128.2,178.8,397.5,714.6,33.8,140,139.2
718.4,115.2,342.4,671.75,877.2,21.8,258.6666667,90.2
722,105.4,168.8,501.5,680.6,19.2,1308.333333,342
627.7,109.6,171.2,626.75,922.2,7.2,1712.666667,289.8
454,285,198.8,485.75,1002,43.4,1028.333333,115.8
400.8,227.8,188.8,268,1302,43.4,1343.333333,77.6
387.2,155.2,101.4,258.25,1129.4,31.4,1485,55.6
666.6,93.6,53.2,549,1495.8,24.2,1478,103.2
535.8,131.8,2.6,352,614.8,4.8,747,98.4
409.8,186.4,10.2,624.5,1162.4,123.6,880,140.6
531.2,298.4,0,950.75,554.2,111,785.6666667,197.6
601.6,226.2,25,513.25,822.2,9.6,703,152.2
701.4,122.8,0,605.25,1018.2,41.2,572.6666667,77.2
566.9,45.8,25,610,1390,24.2,707.6666667,82.2
618.8,102.8,0,696.5,702,9.6,1310,231.2
539.8,72.4,0,414,912.8,21.6,1392,133.8
752.3,48.6,0,584,590.8,14.4,1003.333333,70.2
1001.1,127,76.2,950.75,864.8,21.6,538,70
722.8,87.6,105.4,609.5,737.8,46,864,82.2
387.5,142,25,715.25,600.6,36.2,698.3333333,152.6
280.7,116.6,121.4,1052.25,781,21.8,1006.666667,145.4
296.9,125,183.8,819.5,678.4,80.2,835.3333333,73.8
288.4,148,121.4,594.25,787.2,88.8,518.6666667,267
376.6,46.2,22.6,531,913.2,45.8,780.6666667,98.6
778.8,69.6,22.6,230.25,537.6,54,643.3333333,66.6
618.2,89,30,457.5,1131.4,58.8,385.6666667,50.8
856.7,105,2.6,532.75,1070.6,73.8,333.6666667,137.6
861.5,98.2,0,738.75,579.2,50.8,198.6666667,66.2
651.8,71.4,0,259.75,952.2,61.2,408,179
712.5,92.6,0,260.75,548,84,409,135
1075.3,53.2,0,225.5,592.4,58.4,404.3333333,84.8
365.5,2.6,0,247.75,1280.4,152,307.3333333,87.4
481.8,64.2,0,482.5,1040,149.6,333.6666667,88.8
591.5,64.6,0,767,1316,33.8,212.3333333,135.2
383,156,0,346.25,793.6,109.2,185,97
591.7,132.6,0,335,838.2,43.4,280.6666667,87
424.1,202.2,0,318,896.6,46,560.6666667,159.2
367,222.8,0,208.5,492.4,36.2,660.6666667,150.2
274.5,103,7.6,319.5,831.8,53.4,1462.666667,343.4
282,91.2,0,113,680.6,88.4,921.6666667,108.2
656.5,262.8,0,259.25,684.4,83,1038.666667,144.4
435.2,246.8,2.6,345,1070.2,120.2,1256.333333,286.8
320.4,196.6,0,502.5,930.2,77.2,1030.666667,129.4
412.8,199.6,2.6,656.25,1079,73.8,413.3333333,117.6
585.2,134.2,5.2,335,808.4,74.8,91.33333333,123
1226.6,112.6,17.6,922.25,1012.4,182.2,768,166.2
1196.6,83.4,97.4,612.5,888,160.6,1426,113.6
662,89,17.6,986.5,1261.4,257.2,1208,82.6
500.7,73,20.2,1238.5,876,117.8,687.6666667,132.8
382.9,85,166.2,988.75,912.6,144.4,745.3333333,112.4
452.8,41.6,53.8,848.75,643.4,220.2,793.6666667,41.4
211.9,50.8,0,660.75,937.6,201.8,719.3333333,76.2
395.7,38.6,135,720.75,906.6,189.2,996,101.2
560.3,43.6,25,799.25,985.8,157.4,355.3333333,99.2
633.6,111,35.2,265.25,614.6,148.2,727.3333333,102.4
719.8,41,85.4,654,1164,124.2,750,245.4
663.4,88.2,58.2,385.25,921.2,101.8,855.6666667,192
907.8,91.8,55.6,525.75,1035.6,124.8,868.6666667,182.6
659.2,63,98,672,1102.4,133.8,1070,196.6
614.3,56.4,12.6,844.5,1129.4,140.2,1281,88
512,177.2,0,514,768,86.4,932,206.2
620.2,104.8,12.6,1285.25,651.4,113.4,491.6666667,125.6
725.5,90.6,20.2,1083.5,1197.2,118.6,417.3333333,150.2
847.6,214.6,0,1065.5,854,92.2,175,207.8
849.7,130.6,40.2,996.5,635,211.6,125.3333333,375
658.1,108,176.2,825.5,777.6,41.41162871,461.3333333,428.6
769.4,38.4,146.6,620.5,703.2,199.8,693,231.8
512.4,131.2,20,710.75,1346,142.8,218.3333333,138
554,118.4,32.8,928.5,757.8,61.8,542,97
434.5,13,86.8,926.75,1248.8,116.8,291,125.6
376.9,123.8,61.2,493.75,787,177.4,370.3333333,96.6
825.1,119,45,1156.25,434,144.6,512,354
749.3,116.2,64.6,862.5,748.8,96.6,324.3333333,73
295.4,106.6,136,479.25,931.2,74.8,408,195.6
335.2,151.2,156.2,613.75,952.6,24.2,741.6666667,72.4
268.7,99,58.8,803.75,814.6,29,484,153.2
299.3,25.6,20,939,665,36,766.3333333,201
448.8,61.4,17.6,570.5,1144.4,14.4,300.6666667,68.4
354,76.8,0,661.25,857.8,65.2,489,69.6
437.4,141.2,17.6,483.25,693.7315065,33.8,206.6666667,91.8
487,154.2,0,838.25,775.8,26.6,433.6666667,141
656.5,48.8,10,554,607.4,2.4,420.6666667,96.6
372.4,76.8,25,733.5,685.8,9.6,538.6666667,114.6
500.3,56.4,5,1165.75,1018.4,55.4,598.3333333,130.8
777.6,47.6,37.6,770.25,1138.2,70,376.3333333,149.2
583.9,81.8,35.6,600.5,545,125.6,232.3333333,83
546.9,71.6,0,586,790,93.6,188,94.2
306.2,161.2,25,841,971.8,76.6,175.6666667,50.6
654.3,33.4,60.2,882,919.8,58,132,76.2
673.5,51.2,10,844.5,609.4,16.8,408,80.2
588.5,38.6,27.6,561.8775499,776,7.2,624.6666667,60.4
338.7,43.4,0,919.75,931.4,38.6,450,122
448.8,28.2,43.2,1374.75,766.6,12,347.3333333,29
588,7.8,232.2,1072.75,1049.6,7.2,378.3333333,100.4
576.7,80.8,238.8,665.75,1098,14.4,251.6666667,248.8
681.9,54,407.2,425.75,681.6,42,915.6666667,125.8
500.1,56.4,623.2,267.25,689.6,46.2,595.6666667,99.2
234.5,91.2,186.2,351.25,687.2,26.6,535.6666667,139.2
442.6,85,185.2,224.5,600.4,33.6,223.6666667,82
491.6,119.8,50.2,248.5,616,62.6,266,117.8
895.1,73.2,89.8,336.25,735.8,26.4,499,135.6
594.9,86.4,176.2,130,658.8,39,779.3333333,256.6
812.8,25.6,85.4,307,824.8,24.2,650.3333333,134.8
785.8,149.6,259,908.5,926.2,36.2,632,138.4
828.1,140.2,330.4,748.5,1245.6,210.4,849.3333333,116.4
477.2,91,437.8,438,1015,242,429.3333333,119.8
436.8,127.6,37.6,429.25,799.2,191.2,519.6666667,58.2
659.2,117.8,42.8,189.5,731.8,130.4,482.3333333,78.6
991.5,181.8,410.8,192,829.4,165.8,486.3333333,158.6
877,114.8,127.2,226.25,534.2,218.4,280,94.6
590.5,148.6,55.6,349.5,1422.8,403.2,565.6666667,41.2
607.6,121.2,112,335,1161,219.2,748.3333333,58.4
609.8,91.6,226.4,402.75,1202.2,21.6,816.6666667,141.2
540.6,173.2,196.2,333.25,2099.2,43.4,712.6666667,160
554,102,129,400.25,679.6,33.8,483.3333333,150.6
757.1,144.8,133,325,885.4,46,397.6666667,115
904,91.2,122.4,489.25,1027.4,54.4,696.3333333,163.2
612.3,113,74.2,302.25,877.2,41.4,742.6666667,173.4
553.6,213.6,79.4,389,756,39.6,686.3333333,79.6
532.4,140.2,136.6,641.25,828,110.2,484,79.6
572.7,69,122.4,542,702,41.2,728.6666667,101
656,130,242.6,481.75,944.6,31.4,248.3333333,180.6
600.6,81.4,27.6,653.25,936,31.4,513.6666667,43.4
442.8,51.2,83.8,332.5,792,46,737.3333333,21.6
623.6,104,20.2,481.25,894.8,16.8,893.6666667,117
743.4,30.8,57.6,798,434.8,9.6,576,108.6
458.1,28.2,37.8,973,604.2,50.8,289.3333333,150.2
817.6,41.6,49.6,707,521.2,7.2,310.6666667,81
623.5,28,12.6,599.5,549.6,16.8,608.6666667,94.4
873.1,48.8,2.6,719.5,722.6,28.8,692,62.8
906.5,35.8,73.4,1051.25,861.8,33.8,615.3333333,65.4
575.8,54.4,20.65696313,617.25,761.8,0,675,73.2
649.5,35.8,58.2,357.75,1005,7.2,664.3333333,112.2
745.9,105.2,58.2,733,1240.8,7.2,524.6666667,46
828.8,45.6,45.2,872,1030.2,12,402.6666667,114.6
522.3,28.2,242,438.75,852.8,36.2,447.3333333,109.2
653.5,43.8,140.4,467.25,808.2,4.8,648.6666667,57.8
418,36,7.6,362,804,0,328.6666667,99.4
483.2,53.2,105,229.5,977,2.4,659,60.4
657,25.6,186.4,323.25,923,43.4,475.3333333,147
456,25.6,47.2,349.75,1829.2,38.6,425,82
604.7,25.6,293.2,644.25,1410.8,26.4,341.3333333,175.2
468.8,86,120.4,539,840.6,9.6,576,216.4
710.9,115.2,103.8,346.75,1082.6,115.8,123.6666667,185
524.5,23,97.4,492.5,1520.4,77.2,352.6666667,106.6
644.9,23.2,143,713.75,1525.8,38.6,827,119.8
758.9,71.8,181.8,444.25,2091.2,70.8,167.3333333,264.6
619.6,66.2,179.6,465.5,1199.2,94.2,283.3333333,168.6
738.7,51.2,77.4,540,1151.4,45.8,605,107.8
384.2,69.6,87.8,319.5,1111.2,50.6,529,101.8
639.2,33.2,27.6,501.5,1470.2,156,304.6666667,204.4
422.2,7.8,30,558.5,1140,82.2,640.6666667,77.8
536.9,25.6,35.2,537.75,1074,45.8,430,53.2
763.2,28,0,374.5,1050,68.6,280,165.6
405.2,52.2,65.2,548.25,953.6,236.2,152.6666667,45.8
445.7,63.8,56.6,630.5,871.8,143,410.6666667,99.8
413.4,46.6,62.4,594.75,1077.2,83,281.6666667,93.2
371.2,38.4,32.6,521.75,906.4,48.4,612,78.8
490.9,35.8,79.8,803,1137,62.8,443.6666667,51.6
283.8,15.4,66.2,402.75,744,33.8,417,82
378.9,10.4,76.8,252.25,853.4,12,499.3333333,128.6
445.5,71.6,17.6,401.5,579.4,50.8,825.3333333,136.4
722.9,15.4,40.2,768.5,717,33.6,791,26.6
525.8,84.4,169.2,581,1181.6,101.4,392.6666667,72.4
689.7,66.6,47.6,309.75,1722.4,36.2,315,40
551.9,89.6,76.2,620,1866,7.2,337,59.4
384.9,74.2,98.4,328.25,3395,45.8,236.3333333,45.8
632.5,48.8,67.2,328.75,3904.2,95.6,579.6666667,70.8
701.7,18,65.6,276.75,3111.6,56,547,100.4
535.8,56.4,5,203.75,2201,93.2,716,150.6
475.6,62.8,37.6,338,2241.8,236.6,654,299.8
479.5,75.8,35.2,476.25,1769.8,94,715,317.2
481.9,87,152.6,614,2670,305.8,873,317.8
481.8,84.4,166.2,354.5,1141.4,99.6,587,238.6
443.7,78.4,25.2,244,1385.4,58.2,394.3333333,192.2
522.8,53.8,17.6,572.25,2037.8,302,661.3333333,172.8
423.1,108,22.6,539,1798.4,111,588,121.2
622.6,86.6,0,324.25,2072.6,65.6,532.6666667,114.6
441.8,97.4,10,130.5,946.2,26.4,599,147.8
407.6,49.6,56.6,339.5,1066.6,38.4,658.3333333,131
361,87,191.2,129.75,609.2,19.2,784.3333333,68
355.6,25.6,128.4,168.75,656,19.2,426,81.6
306.3,60.8,53.8,280,625.6,12,559,89.4
642.8,67.2,35.6,326.25,872.8,21.6,520,101.8
556.4,51,60.4,300.5,1398.6,26.4,780,94.2
985.3,43.6,247.4,553.25,2154.6,9.6,818.6666667,155.2
680.4,54.8,373.4,661.5,2321,16.8,717.6666667,57.4
1065.9,48.8,186.2,689.25,2540.4,14.4,403.6666667,68
896.6,72.2,194.8,767,2361.8,2.4,853.3333333,156.4
932.2,94.6,247,642.5,2268,17,462,143.2
852.8,160.4,190.2,819.5,2867.8,46,441,48.2
805.2,117.8,59.6,407.25,2372.4,21.6,415.6666667,114.2
937.7,68.2,30.2,314.25,784.2,9.6,173,169
904.6,43.6,5,631.75,631.4,4.8,187,124
831.7,75.8,5.2,595.25,758,21.6,135,33.8
771.7,116.8,76.4,350.75,596.2,9.6,367,85.4
890.7,160.8,142,731,413,41,540.3333333,146.4
700.2,141.4,279,1184.75,1196.2,60.4,364.6666667,269.2
1572.4,63.4,30,910.5,1195.8,38.6,782.6666667,103.4
1159.1,70.2,197.2,952,1374.4,28.8,473.6666667,125.4
1061.8,35.8,169.8,628,1442.6,120.8,527.3333333,75.4
1405.6,134.8,44.6,394,1402.6,186.4,621,120.8
1105.5,75,17.6,678.5,1453.8,120.2,784.3333333,197.4
378,195.4,0,647.5,594.8,172.8,688.6666667,58.8
503,88.2,15.65696313,444,569.8,202.2,550.3333333,139.2
478.5,125.4,117,484.5,503.2,120.4,372,233.8
963.6,88.6,211.2,500,543,94.6,263.6666667,247.2
407.8,113.6,546.6,396.3775499,502,77.2,559.6666667,53.2
806.1,53.8,182.6,768,389.8,47.2,481.6666667,44.8
1030.7,169,73,599.75,389,86.8,723,19.2
1199.8,223.8,38.6,463.75,426.6,130.8,537.6666667,28.8
889.8,99.8,161.2,606.75,530.4,60.6,504.6666667,101
1128.6,135.6,127.4,508.75,510.8,112.4,409,31.2
1238.7,191,210.2,365.25,403.6,76.4,326,118.8
1113.7,85.2,220.8,518.75,294.6,26.6,147.6666667,97.2
1574.3,38.4,120.4,424.25,572.6,9.6,128,89.4
1500.4,28,32.8,674,594.6,43.4,383.3333333,154.4
800,69.8,32.6,522,524.4,61.8,616.3333333,60.6
1076.7,46,5.2,432.25,766.4,31.4,613.3333333,45.8
938.3,66.6,41.6,394.5,973.2,50.6,420.6666667,110.6
1063.9,43.6,0,400.25,1050,36.2,484.6666667,167.6
1666.7,65,30.2,469.75,575.6,38.4,207,205.2
906.4,51.2,27.6,374.75,763.4,104.2,617.6666667,103.8
858.1,12.8,32.6,719.75,807.6,41,523,73.4
1166.4,173.6,37.6,752.25,582.4,173,257.6666667,148.2
1471.4,135.4,68.4,417.25,788.6,89.8,166.3333333,140
773.6,137.6,25,283.5,1129.4,24,125.3333333,60.4
850.7,79.4,7.6,408.5,330.2,65.6,151,31.4
826.6,70.2,5,148,431.8,72.8,76.66666667,19.4
883.1,116.8,10,158.5,391.4,59,393.3333333,14.4
1076.3,120.4,32.6,124.75,327.2,29,445.6666667,92.8
849.7,121,44.6,369,260.6,9.6,700,151
898.5,15.4,30.2,428.25,653.2,42,757,85.8
723.7,89.8,55.2,269.75,800.4,24.2,1005.333333,59.8
1000.1,66.4,106.8,357.5,244.6,29,926,152.2
906.1,125.4,126.4,320,266,41,1147.666667,100.6
719.5,107.4,32.6,435.5,258.4,43.6,846.6666667,136.2
1069.5,116.8,83.4,236,302.6,36.2,556.3333333,70
1269.8,224.8,2.6,611,256.2,60.4,637.6666667,117.8
911.9,242.4,27.6,875.75,556,92.2,525.6666667,74.8
902.1,166.4,7.6,515,1003.6,76.2,776,95.6
1129.9,105.6,22.6,276.75,1412.8,90.4,643.6666667,180
1415,170,7.6,236,1432,122.6,532.6666667,82.2
1181.3,58.8,0,479.25,1161,76.4,402,191.6
1295.8,149,37.6,699,1210.4,12,1541.333333,168.6
1617.1,148,25.2,453.75,1262,54.2,627.3333333,80.6
1650.5,38.4,141.6,173.25,488.4,128,403.6666667,96
1685.3,121,30.2,480.5,350.8,162.8,400.3333333,86.8
930.6,149,20,879.5,352,79.2,638.3333333,100.2
1226.9,130.6,56.4,791,215.2,79.6,587.3333333,87.8
1263.8,152.6,62.8,799.25,225.4,104.8,661.3333333,60.8
1436.2,337,47.6,694.5,211.8,62.8,613,164.8
